seed,target_unique,final_unique,exact_count_complete,raw_draws,raw_duplicates,raw_duplicate_rate,invalid_draws,validity_rate,refill_rounds,generation_batches,generation_wall_seconds,generation_gpu_seconds,valid_unique_per_wall_second,valid_unique_per_gpu_second,peak_gpu_bytes,exact_training_overlap_count,exact_training_overlap_rate,nearest_training_identity_mean,nearest_training_identity_median,nearest_training_identity_p95,length_normalized_nll_mean,length_normalized_nll_median,cluster_count,largest_cluster_size,largest_cluster_fraction,pairwise_identity_mean,pairwise_identity_median
20260727,10000,10000,True,10021,21,0.0020955992415926552,0,1.0,1,11,1.2156222141347826,1.1890235748291016,8226.239931883349,8410.262177886003,163312640,6,0.0006,0.3858778178691864,0.3571428656578064,0.625,1.7671061810333704,1.820212144118089,9854,13,0.0013,0.12640623304201554,0.10714285714285714
20260728,10000,10000,True,10026,26,0.002593257530420906,0,1.0,1,11,0.8570812670513988,0.8306024265289307,11667.505036486004,12039.454353377922,163312640,11,0.0011,0.38644248247146606,0.3571428656578064,0.625,1.7676428257087042,1.8183082814802205,9842,13,0.0013,0.12615770362791948,0.10714285714285714
20260729,10000,10000,True,10023,23,0.002294722139080116,0,1.0,1,11,0.8673832905478776,0.8410172157287598,11528.928570532595,11890.363018710363,163312640,6,0.0006,0.38441646099090576,0.3571428656578064,0.6190476417541504,1.7704976869163394,1.8234530131022137,9869,17,0.0017,0.12535802023536408,0.10714285714285714
