cohort,generator,n,unique_n,unique_fraction,length_mean,length_median,length_min,length_max,sequence_entropy_mean_nats,sequence_entropy_median_nats,max_residue_fraction_mean,low_complexity_fraction_max_residue_ge_0_5
full,AMP-Designer,100000,100000,1.0,17.80321,17.0,12,28,1.80120300000548,1.8102520037854777,0.308498195421598,0.03665
full,LIUP-AR,100000,100000,1.0,18.27127,18.0,12,28,1.681887967942117,1.7670091910745693,0.33877037069567423,0.14608
macrel_predicted_amp,AMP-Designer,90348,90348,1.0,17.872072431044405,17.0,12,28,1.8008993340904051,1.809514255849282,0.30691782312690336,0.028611590738035153
macrel_predicted_amp,LIUP-AR,83179,83179,1.0,18.228459106264804,18.0,12,28,1.6629434179044766,1.7326587201992076,0.3388940561022156,0.14240373171112902
