cohort,generator,sample_n,threshold,cluster_count,cluster_fraction,largest_cluster_size,largest_cluster_fraction,cluster_entropy_nats,effective_cluster_number
full,AMP-Designer,10000,0.8,10000,1.0,1,0.0001,9.210340371976184,10000.00000000001
full,AMP-Designer,10000,0.9,10000,1.0,1,0.0001,9.210340371976184,10000.00000000001
full,LIUP-AR,10000,0.8,9886,0.9886,12,0.0012,9.190914776719877,9807.618658092031
full,LIUP-AR,10000,0.9,9985,0.9985,4,0.0004,9.20812230099839,9977.843871238882
macrel_predicted_amp,AMP-Designer,10000,0.8,10000,1.0,1,0.0001,9.210340371976184,10000.00000000001
macrel_predicted_amp,AMP-Designer,10000,0.9,10000,1.0,1,0.0001,9.210340371976184,10000.00000000001
macrel_predicted_amp,LIUP-AR,10000,0.8,9890,0.989,7,0.0007,9.19279857310086,9826.111627651962
macrel_predicted_amp,LIUP-AR,10000,0.9,9985,0.9985,2,0.0002,9.208260930434502,9979.227189990497
