query_generator,comparison,metric,n,mean,median,q025,q25,q75,q95,q975
AMP-Designer,Within-generator nearest,same_length_ungapped_identity,3000,0.5269325656791528,0.529411792755127,0.36000001430511475,0.4615384638309479,0.5882353186607361,0.6877403855323778,0.7142857313156128
AMP-Designer,Within-generator nearest,maximum_normalized_edit_similarity,3000,0.6140045537352562,0.6111111044883728,0.5,0.5652173757553101,0.6666666865348816,0.7333333492279053,0.7647058963775635
AMP-Designer,Cross-generator nearest,same_length_ungapped_identity,3000,0.4919219134747982,0.48148149251937866,0.3333333432674408,0.4285714328289032,0.550000011920929,0.6666666865348816,0.6666666865348816
AMP-Designer,Cross-generator nearest,maximum_normalized_edit_similarity,3000,0.5844043795466423,0.5789473652839661,0.4642857015132904,0.5333333611488342,0.625,0.7058823704719543,0.7333333492279053
LIUP-AR,Within-generator nearest,same_length_ungapped_identity,3000,0.5503704882164796,0.529411792755127,0.3333333432674408,0.4444444477558136,0.6428571343421936,0.8333333134651184,0.8666666746139526
LIUP-AR,Within-generator nearest,maximum_normalized_edit_similarity,3000,0.6452763234476249,0.625,0.4642857015132904,0.5555555820465088,0.7142857313156128,0.8666666746139526,0.9166666865348816
LIUP-AR,Cross-generator nearest,same_length_ungapped_identity,3000,0.4893708528925975,0.47826087474823,0.3076923191547394,0.4117647111415863,0.5714285969734192,0.6666666865348816,0.692307710647583
LIUP-AR,Cross-generator nearest,maximum_normalized_edit_similarity,3000,0.5840934481620789,0.5789473652839661,0.4399999976158142,0.5263158082962036,0.6428571343421936,0.7142857313156128,0.7371710434556019
