implementation,seed,n,macrel_coverage,macrel_probability_mean,macrel_probability_median,macrel_pass_0_5_rate,hydramp_coverage,hydramp_probability_mean,hydramp_probability_median,hydramp_pass_0_5_rate_among_scored,two_predictor_coverage,two_predictor_amp_consensus_rate_among_scored,macrel_hydramp_spearman
LIUP-DI-corrected,20260727,10000,1.0,0.43269670000000005,0.446,0.3869,0.8223,0.6302322381323913,0.8241837620735168,0.6316429526936641,0.8223,0.2917426729903928,0.35187423950907204
LIUP-DI-corrected,20260728,10000,1.0,0.43124039999999997,0.446,0.3924,0.8231,0.6366040755097774,0.8278513550758362,0.6362531891629206,0.8231,0.29801968169116755,0.363407907198321
LIUP-DI-corrected,20260729,10000,1.0,0.43424770000000007,0.446,0.3967,0.8255,0.6331818986297327,0.8208678364753723,0.6363416111447607,0.8255,0.300908540278619,0.34926196323125847
LIUP-AR,20260727,10000,1.0,0.6448983,0.663,0.8353,0.8937,0.9235776178950682,0.999974489212036,0.9268210808996308,0.8937,0.8000447577486852,0.21784483113643496
LIUP-AR,20260728,10000,1.0,0.6446339,0.663,0.8305,0.8961,0.9181691080422122,0.999972939491272,0.9224416917754715,0.8961,0.7908715545140051,0.2239785742117335
LIUP-AR,20260729,10000,1.0,0.6432186000000001,0.653,0.8339,0.8941,0.9209125379122254,0.9999723434448242,0.9233866457890616,0.8941,0.7928643328486746,0.23574910675558375
