implementation,seed,target_unique,final_unique,exact_count_complete,raw_draws,raw_duplicates,raw_duplicate_rate,invalid_draws,validity_rate,generation_batches,generation_wall_seconds,generation_gpu_seconds,valid_unique_per_wall_second,valid_unique_per_gpu_second,peak_gpu_bytes,exact_training_overlap_count,exact_training_overlap_rate,nearest_training_identity_mean,nearest_training_identity_median,nearest_training_identity_p95,cluster_count,largest_cluster_size,largest_cluster_fraction,pairwise_identity_mean,pairwise_identity_median,refill_rounds,length_normalized_nll_mean,length_normalized_nll_median
LIUP-DI-corrected,20260727,10000,10000,True,10000,0,0.0,0,1.0,79,158.55962408101186,158.5233662109375,63.0677579992922,63.08218301832931,162343936,0,0.0,0.22816669940948486,0.2222222238779068,0.3333333432674408,10000,1,0.0001,0.05658636889202329,0.05,,,
LIUP-DI-corrected,20260728,10000,10000,True,10000,0,0.0,0,1.0,79,158.3066049227491,158.27079711914064,63.16855828523281,63.182849786700416,160741376,0,0.0,0.22766882181167603,0.21739129722118378,0.3333333432674408,10000,1,0.0001,0.05651911967273726,0.05,,,
LIUP-DI-corrected,20260729,10000,10000,True,10000,0,0.0,0,1.0,79,158.5740617630072,158.53802026367188,63.06201587334784,63.076352179549986,160741376,0,0.0,0.22915078699588776,0.2222222238779068,0.3333333432674408,10000,1,0.0001,0.056528959922941505,0.05,,,
LIUP-AR,20260727,10000,10000,True,10021,21,0.0020955992415926552,0,1.0,11,1.2156222141347826,1.1890235748291016,8226.239931883349,8410.262177886003,163312640,6,0.0006,0.3858778178691864,0.3571428656578064,0.625,9854,13,0.0013,0.12640623304201554,0.10714285714285714,1,1.7671061810333704,1.820212144118089
LIUP-AR,20260728,10000,10000,True,10026,26,0.002593257530420906,0,1.0,11,0.8570812670513988,0.8306024265289307,11667.505036486004,12039.454353377922,163312640,11,0.0011,0.38644248247146606,0.3571428656578064,0.625,9842,13,0.0013,0.12615770362791948,0.10714285714285714,1,1.7676428257087042,1.8183082814802205
LIUP-AR,20260729,10000,10000,True,10023,23,0.002294722139080116,0,1.0,11,0.8673832905478776,0.8410172157287598,11528.928570532595,11890.363018710363,163312640,6,0.0006,0.38441646099090576,0.3571428656578064,0.6190476417541504,9869,17,0.0017,0.12535802023536408,0.10714285714285714,1,1.7704976869163394,1.8234530131022137
